noise,parallel_type,graph,threads,resolution,mean,std,max,min
ComplexNoise,sequential,False,0,1024x768,19456625.6,31596.348840403134,19532255,19424188
PerlinNoise,sequential,False,0,1024x768,1222611.0,133129.97505111728,1454404,1135203
RidgedNoise,sequential,False,0,1024x768,10334417.2,22698.832744340747,10387007,10305305
ComplexNoise,parallel,False,10,1024x786,32316512.1,79683.26887509732,32483204,32197897
ComplexNoise,parallel,True,10,1024x786,5285724.65,32289.645789120113,5360734,5205848
ComplexNoise,parallel,False,12,1024x786,33799052.6,159227.46862087122,34204896,33570629
ComplexNoise,parallel,True,12,1024x786,5640596.7,57060.56391432749,5850803,5591330
ComplexNoise,parallel,False,14,1024x786,33959046.5,290031.14275185583,34271360,33435082
ComplexNoise,parallel,True,14,1024x786,5551027.35,41795.695477524954,5642759,5491078
ComplexNoise,parallel,False,16,1024x786,33675592.95,102074.95226984975,33936679,33480087
ComplexNoise,parallel,True,16,1024x786,5620317.7,86250.78728006822,5855816,5540778
ComplexNoise,parallel,False,18,1024x786,33609000.55,76170.71334179146,33741746,33482966
ComplexNoise,parallel,True,18,1024x786,5580648.35,41011.36484115361,5663221,5524840
ComplexNoise,parallel,False,1,1024x786,33934731.05,237886.69799064452,34273663,33617746
ComplexNoise,parallel,True,1,1024x786,5584418.7,47782.23386100077,5695996,5523710
ComplexNoise,parallel,False,20,1024x786,33878556.3,201441.8801295197,34471359,33612684
ComplexNoise,parallel,True,20,1024x786,5569548.4,24821.80990559459,5608209,5518460
ComplexNoise,parallel,False,22,1024x786,33800276.5,79875.03064524574,33959313,33649399
ComplexNoise,parallel,True,22,1024x786,5578213.2,34174.669244308636,5641209,5500995
ComplexNoise,parallel,False,24,1024x786,33741933.25,77166.43898324753,33886468,33569492
ComplexNoise,parallel,True,24,1024x786,5578290.8,31179.260123560205,5648987,5519390
ComplexNoise,parallel,False,2,1024x786,21305654.95,84617.11216786441,21581665,21200800
ComplexNoise,parallel,True,2,1024x786,3382823.0,28589.029454633375,3447272,3345902
ComplexNoise,parallel,False,4,1024x786,26006884.4,86182.38791283224,26156427,25873138
ComplexNoise,parallel,True,4,1024x786,4140190.35,33207.37106074176,4209572,4077561
ComplexNoise,parallel,False,6,1024x786,28996545.8,62264.627480828276,29090667,28888991
ComplexNoise,parallel,True,6,1024x786,4656796.95,21767.912242987866,4700077,4620051
ComplexNoise,parallel,False,8,1024x786,31048987.85,43075.17220086544,31139294,31000011
ComplexNoise,parallel,True,8,1024x786,5063092.4,38648.869072308196,5169840,5004517
ComplexNoise,sequential,False,0,1024x786,33828021.05,131046.11541561881,34094403,33646016
PerlinNoise,parallel,False,10,1024x786,1909921.3,19703.841965998727,1967007,1878405
PerlinNoise,parallel,True,10,1024x786,2426884.75,23166.375290323373,2485438,2393893
PerlinNoise,parallel,False,12,1024x786,1978154.2,39005.75648555641,2089606,1950343
PerlinNoise,parallel,True,12,1024x786,2531096.2,51681.795602462735,2738582,2491543
PerlinNoise,parallel,False,14,1024x786,1993124.55,91082.45745388886,2369204,1950765
PerlinNoise,parallel,True,14,1024x786,2546841.5,40749.35413307993,2644575,2500453
PerlinNoise,parallel,False,16,1024x786,1973040.4,30878.747481756855,2069024,1948862
PerlinNoise,parallel,True,16,1024x786,2520670.05,52123.81709825275,2727907,2484600
PerlinNoise,parallel,False,18,1024x786,1970275.35,23602.32946860832,2030819,1944792
PerlinNoise,parallel,True,18,1024x786,2534741.5,61361.12363232157,2759122,2487385
PerlinNoise,parallel,False,1,1024x786,1161612.3,3579.9511625601526,1169683,1154929
PerlinNoise,parallel,True,1,1024x786,1397649.25,3367.843162290886,1403198,1391476
PerlinNoise,parallel,False,20,1024x786,1983440.6,44208.6937692005,2151610,1948560
PerlinNoise,parallel,True,20,1024x786,2524882.3,49856.537619242554,2684900,2488782
PerlinNoise,parallel,False,22,1024x786,1971688.2,24423.230864335528,2039477,1946149
PerlinNoise,parallel,True,22,1024x786,2523716.3,39332.717910424806,2633272,2485188
PerlinNoise,parallel,False,24,1024x786,1972321.8,26857.715325101846,2040293,1942559
PerlinNoise,parallel,True,24,1024x786,2527920.3,42260.50995295976,2645481,2490080
PerlinNoise,parallel,False,2,1024x786,1265745.4,17641.02056183706,1316071,1227228
PerlinNoise,parallel,True,2,1024x786,1562587.15,27537.3058714996,1648535,1529293
PerlinNoise,parallel,False,4,1024x786,1538172.35,20678.182520345854,1593636,1517235
PerlinNoise,parallel,True,4,1024x786,1906132.4,31442.844115030453,1985959,1858314
PerlinNoise,parallel,False,6,1024x786,1722341.25,32677.57567648043,1824893,1690326
PerlinNoise,parallel,True,6,1024x786,2120226.9,25045.878862389192,2168746,2073195
PerlinNoise,parallel,False,8,1024x786,1839266.35,21353.74857335851,1882566,1803915
PerlinNoise,parallel,True,8,1024x786,2293721.65,28834.006511455038,2358499,2238720
PerlinNoise,sequential,False,0,1024x786,1181939.1,76659.16095762016,1498082,1153418
RidgedNoise,parallel,False,10,1024x786,16872469.25,67970.05468886938,17090289,16796864
